City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
130,olafsvik,IS,2020-11-11 00:44:14,64.89,-23.71,39.7,74,100,9.06,overcast clouds
131,touros,BR,2020-11-11 00:39:38,-5.2,-35.46,78.8,83,75,8.05,broken clouds
132,waynesville,US,2020-11-11 00:44:14,35.49,-82.99,62.01,75,100,1.01,overcast clouds
133,new norfolk,AU,2020-11-11 00:44:14,-42.78,147.06,86.0,28,34,1.01,scattered clouds
134,tuatapere,NZ,2020-11-11 00:44:15,-46.13,167.68,59.0,71,12,7.0,few clouds
135,ostrovnoy,RU,2020-11-11 00:44:15,68.05,39.51,32.29,95,100,12.71,overcast clouds
136,ilebo,CD,2020-11-11 00:44:15,-4.32,20.58,67.35,96,15,0.6,few clouds
137,puerto ayora,EC,2020-11-11 00:44:15,-0.74,-90.35,69.01,88,82,5.01,broken clouds
138,avarua,CK,2020-11-11 00:44:15,-21.21,-159.78,80.6,78,0,12.68,clear sky
139,mareeba,AU,2020-11-11 00:44:15,-17.0,145.43,84.99,58,75,8.05,broken clouds
140,richards bay,ZA,2020-11-11 00:44:16,-28.78,32.04,66.43,90,100,8.46,light rain
141,zhumadian,CN,2020-11-11 00:44:16,32.98,114.03,57.06,56,0,6.85,clear sky
142,castro,BR,2020-11-11 00:43:04,-24.79,-50.01,64.44,91,100,1.1,overcast clouds
143,kemijarvi,FI,2020-11-11 00:44:16,66.71,27.43,27.68,92,98,4.41,overcast clouds
144,lorengau,PG,2020-11-11 00:44:16,-2.02,147.27,85.53,65,100,5.3,overcast clouds
145,guerrero negro,MX,2020-11-11 00:44:16,27.98,-114.06,63.43,65,0,16.11,clear sky
146,pemba,MZ,2020-11-11 00:44:17,-12.97,40.52,78.8,83,40,5.82,scattered clouds
147,batagay,RU,2020-11-11 00:44:17,67.63,134.63,-15.68,82,83,3.94,broken clouds
148,ahipara,NZ,2020-11-11 00:44:17,-35.17,173.17,63.16,64,1,11.39,clear sky
149,puerto escondido,MX,2020-11-11 00:44:16,15.85,-97.07,82.4,69,75,6.93,broken clouds
150,geraldton,AU,2020-11-11 00:44:17,-28.77,114.6,64.4,55,90,9.17,overcast clouds
151,kawalu,ID,2020-11-11 00:44:17,-7.38,108.21,78.12,78,100,1.52,overcast clouds
152,smyrna,US,2020-11-11 00:39:55,33.88,-84.51,69.01,100,90,4.7,mist
153,sur,OM,2020-11-11 00:44:18,22.57,59.53,73.02,69,0,3.09,clear sky
154,alakurtti,RU,2020-11-11 00:44:18,66.97,30.35,27.54,92,100,3.49,overcast clouds
155,ilhabela,BR,2020-11-11 00:39:59,-23.78,-45.36,73.15,89,100,1.34,overcast clouds
156,jiaxing,CN,2020-11-11 00:44:18,30.75,120.75,66.0,51,0,7.38,clear sky
157,caceres,ES,2020-11-11 00:44:19,39.52,-6.37,50.0,93,1,4.05,clear sky
158,fairbanks,US,2020-11-11 00:42:16,64.84,-147.72,27.0,86,90,1.12,light snow
159,devils lake,US,2020-11-11 00:42:58,48.11,-98.87,21.99,67,1,3.36,clear sky
160,sisimiut,GL,2020-11-11 00:44:19,66.94,-53.67,17.8,92,100,7.67,overcast clouds
161,huarmey,PE,2020-11-11 00:44:19,-10.07,-78.15,62.22,87,63,5.08,broken clouds
162,kaitangata,NZ,2020-11-11 00:44:20,-46.28,169.85,59.0,74,77,13.0,broken clouds
163,berlevag,NO,2020-11-11 00:44:20,70.86,29.09,37.71,79,100,13.6,light rain
164,madimba,TZ,2020-11-11 00:44:20,-10.4,40.33,77.38,83,87,7.83,overcast clouds
165,aksum,ET,2020-11-11 00:44:20,14.12,38.72,54.25,60,69,6.24,broken clouds
166,vao,NC,2020-11-11 00:44:20,-22.67,167.48,70.88,73,100,20.15,overcast clouds
167,sawakin,SD,2020-11-11 00:44:21,19.11,37.33,82.58,76,34,9.42,light rain
168,hobyo,SO,2020-11-11 00:44:21,5.35,48.53,78.82,80,6,11.61,clear sky
169,vilhena,BR,2020-11-11 00:39:44,-12.74,-60.15,78.8,78,0,2.24,clear sky
170,gushikawa,JP,2020-11-11 00:39:29,26.35,127.87,73.4,73,75,14.99,broken clouds
171,cam ranh,VN,2020-11-11 00:44:22,11.92,109.16,79.5,83,13,1.43,few clouds
172,hirara,JP,2020-11-11 00:44:22,24.8,125.28,71.6,73,75,18.34,broken clouds
173,santa isabel do rio negro,BR,2020-11-11 00:44:22,-0.41,-65.02,78.66,74,1,0.29,clear sky
174,east london,ZA,2020-11-11 00:43:48,-33.02,27.91,62.56,77,99,10.63,light rain
175,penzance,GB,2020-11-11 00:44:23,50.12,-5.54,53.6,87,100,17.22,overcast clouds
176,wadi musa,JO,2020-11-11 00:44:23,30.32,35.48,52.32,79,0,2.93,clear sky
177,parbhani,IN,2020-11-11 00:44:24,19.27,76.78,58.37,60,0,4.12,clear sky
178,san miguel,SV,2020-11-11 00:39:27,13.48,-88.18,73.9,93,100,1.63,overcast clouds
179,zeerust,ZA,2020-11-11 00:44:24,-25.54,26.08,62.6,88,0,9.17,clear sky
180,poya,NC,2020-11-11 00:44:24,-21.35,165.15,75.85,62,100,10.16,light rain
181,tukrah,LY,2020-11-11 00:44:24,32.53,20.58,65.48,80,19,9.78,few clouds
182,dhidhdhoo,MV,2020-11-11 00:40:49,6.88,73.1,83.23,70,94,5.7,overcast clouds
183,muroto,JP,2020-11-11 00:44:25,33.28,134.15,57.2,47,20,6.93,few clouds
184,matay,EG,2020-11-11 00:44:25,28.42,30.78,57.92,60,0,4.36,clear sky
185,okhotsk,RU,2020-11-11 00:44:25,59.38,143.3,0.59,87,78,15.12,broken clouds
186,los llanos de aridane,ES,2020-11-11 00:44:25,28.66,-17.92,69.8,64,90,8.05,overcast clouds
187,hammerfest,NO,2020-11-11 00:44:25,70.66,23.68,30.2,86,0,6.93,clear sky
188,ende,ID,2020-11-11 00:44:25,-8.84,121.66,87.66,58,77,1.16,broken clouds
189,coihaique,CL,2020-11-11 00:44:25,-45.58,-72.07,66.2,48,0,5.82,clear sky
190,haines junction,CA,2020-11-11 00:44:26,60.75,-137.51,8.6,78,84,0.31,broken clouds
191,christchurch,NZ,2020-11-11 00:43:01,-43.53,172.63,61.0,62,0,5.82,clear sky
192,mount gambier,AU,2020-11-11 00:44:26,-37.83,140.77,59.0,93,75,5.82,broken clouds
