City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,bandarbeyla,SO,2020-11-09 22:31:18,9.49,50.81,77.05,83,42,16.15
159,henties bay,NA,2020-11-09 22:31:19,-22.12,14.28,55.99,82,0,1.01
160,sterling,US,2020-11-09 22:30:38,39.01,-77.43,71.6,60,20,4.7
161,miri,MY,2020-11-09 22:25:44,4.41,114.01,75.2,94,40,1.12
162,presidencia roque saenz pena,AR,2020-11-09 22:25:43,-26.79,-60.44,79.65,69,70,5.21
163,forestville,US,2020-11-09 22:31:20,38.85,-76.88,70.0,60,1,5.82
164,portland,US,2020-11-09 22:22:45,45.52,-122.68,43.0,70,90,6.93
165,mattru,SL,2020-11-09 22:31:20,7.62,-11.83,74.53,94,81,1.19
166,matay,EG,2020-11-09 22:25:15,28.42,30.78,64.02,59,0,6.8
167,reinosa,ES,2020-11-09 22:31:21,43.0,-4.14,55.0,98,58,5.01
168,pevek,RU,2020-11-09 22:20:35,69.7,170.31,16.54,93,66,7.99
169,port elizabeth,ZA,2020-11-09 22:21:02,-33.92,25.57,53.6,81,0,8.05
170,namagiripettai,IN,2020-11-09 22:31:21,11.47,78.27,67.57,88,52,3.87
171,cayenne,GF,2020-11-09 22:24:44,4.93,-52.33,80.6,88,90,3.36
172,kirkwall,GB,2020-11-09 22:31:22,58.98,-2.96,50.0,93,92,10.89
173,irbeyskoye,RU,2020-11-09 22:31:22,55.64,95.45,33.93,87,46,10.38
174,sovetskaya gavan,RU,2020-11-09 22:31:22,48.97,140.29,21.09,78,98,12.59
175,tuatapere,NZ,2020-11-09 22:24:41,-46.13,167.68,52.0,79,11,3.0
176,nauta,PE,2020-11-09 22:31:23,-4.51,-73.58,75.49,91,100,1.7
177,williams lake,CA,2020-11-09 22:31:23,52.14,-122.14,23.0,92,90,13.87
178,huntsville,US,2020-11-09 22:28:50,34.73,-86.59,77.0,60,1,9.17
179,bereznik,RU,2020-11-09 22:31:24,62.86,42.71,32.74,96,89,8.88
180,lichinga,MZ,2020-11-09 22:29:09,-13.31,35.24,69.8,56,0,11.41
181,sobolevo,RU,2020-11-09 22:31:24,54.43,31.9,36.9,84,41,9.82
182,clarence town,AU,2020-11-09 22:31:24,-32.58,151.78,66.99,77,75,2.24
183,griffith,US,2020-11-09 22:17:45,41.53,-87.42,73.4,60,1,12.75
184,taronik,AM,2020-11-09 22:31:25,40.13,44.2,35.6,80,18,1.28
185,nome,US,2020-11-09 22:21:14,64.5,-165.41,30.99,92,90,27.51
186,bodrum,TR,2020-11-09 22:27:52,37.04,27.43,64.4,66,0,3.36
187,solnechnyy,RU,2020-11-09 22:31:25,50.72,136.63,10.42,86,20,1.23
188,nioro,GM,2020-11-09 22:31:25,13.35,-15.75,78.15,79,0,5.3
189,east london,ZA,2020-11-09 22:21:13,-33.02,27.91,61.2,80,100,8.55
190,la ronge,CA,2020-11-09 22:25:42,55.1,-105.28,10.4,72,0,4.7
191,tautira,PF,2020-11-09 22:24:32,-17.73,-149.15,82.4,74,75,20.8
192,kavieng,PG,2020-11-09 22:31:26,-2.57,150.8,83.62,70,100,5.48
193,port-cartier,CA,2020-11-09 22:27:04,50.03,-66.87,33.8,80,75,3.36
194,makakilo city,US,2020-11-09 22:23:45,21.35,-158.09,84.2,70,40,11.41
195,sorong,ID,2020-11-09 22:31:26,-0.88,131.25,79.14,85,100,4.0
196,caravelas,BR,2020-11-09 22:25:12,-17.71,-39.25,75.11,83,54,7.09
197,mahanoro,MG,2020-11-09 22:31:27,-19.9,48.8,70.86,89,72,1.39
198,lasa,IT,2020-11-09 22:24:47,46.62,10.7,42.01,86,5,4.7
199,klerksdorp,ZA,2020-11-09 22:31:27,-26.85,26.67,71.98,52,88,13.62
200,rurrenabaque,BO,2020-11-09 22:31:27,-14.44,-67.53,80.6,83,90,6.93
201,verkh-usugli,RU,2020-11-09 22:31:27,52.7,115.17,19.92,96,0,1.34
202,killybegs,IE,2020-11-09 22:23:26,54.63,-8.45,54.0,94,80,1.99
203,alwaye,IN,2020-11-09 22:31:28,10.12,76.35,78.8,94,98,3.36
204,harper,LR,2020-11-09 22:31:29,4.38,-7.72,77.86,87,63,7.11
205,kondapalle,IN,2020-11-09 22:31:29,16.62,80.53,59.49,78,0,3.02
206,micheweni,TZ,2020-11-09 22:31:29,-4.97,39.83,78.44,84,41,6.89
207,shar,KZ,2020-11-09 22:31:29,49.59,81.05,38.53,75,100,21.63
208,yulara,AU,2020-11-09 22:21:16,-25.24,130.99,78.8,31,94,3.36
209,bolshoy lug,RU,2020-11-09 22:31:30,52.08,104.09,32.0,95,0,5.3
210,trelew,AR,2020-11-09 22:31:30,-43.25,-65.31,71.22,54,45,6.08
211,zhigansk,RU,2020-11-09 22:25:33,66.77,123.37,-6.29,88,100,26.13
212,bumba,CD,2020-11-09 22:31:31,2.18,22.47,71.01,97,100,3.91
213,itigi,TZ,2020-11-09 22:31:31,-5.7,34.48,67.57,71,91,8.37
214,yumen,CN,2020-11-09 22:25:19,40.28,97.2,29.44,80,1,4.05
215,pueblo,US,2020-11-09 22:28:50,38.25,-104.61,48.99,49,75,19.46
216,kavaratti,IN,2020-11-09 22:24:32,10.57,72.64,83.16,76,65,12.21
217,guantanamo,CU,2020-11-09 22:31:32,20.14,-75.21,82.4,88,75,12.75
218,juneau,US,2020-11-09 22:26:37,58.3,-134.42,37.4,93,90,4.7
219,orsha,BY,2020-11-09 22:31:32,54.52,30.41,35.51,86,10,10.36
220,gwadar,PK,2020-11-09 22:31:33,25.12,62.33,75.74,85,0,4.92
221,hilo,US,2020-11-09 22:21:06,19.73,-155.09,84.2,62,75,8.05
222,komsomolskiy,UZ,2020-11-09 22:24:59,40.43,71.72,39.2,80,0,4.7
223,port keats,AU,2020-11-09 22:31:34,-14.25,129.55,87.48,66,72,5.1
224,burgersdorp,ZA,2020-11-09 22:31:34,-31.0,26.33,55.0,71,60,13.4
225,asau,RO,2020-11-09 22:31:34,46.43,26.4,39.99,97,96,2.3
226,hithadhoo,MV,2020-11-09 22:24:18,-0.6,73.08,83.62,73,100,14.88
227,hervey bay,AU,2020-11-09 22:22:13,-25.3,152.85,75.0,57,4,5.01
228,kenitra,MA,2020-11-09 22:28:13,34.26,-6.58,55.4,100,0,7.05
229,tondano,ID,2020-11-09 22:31:35,1.3,124.91,69.8,94,20,2.24
230,tagusao,PH,2020-11-09 22:31:35,9.19,117.81,80.22,78,66,6.02
231,druzhba,UA,2020-11-09 22:31:36,52.04,33.95,33.33,90,3,7.07
232,saldanha,ZA,2020-11-09 22:31:36,-33.01,17.94,53.6,71,0,11.41
233,semirom,IR,2020-11-09 22:31:36,31.42,51.57,33.51,89,29,2.1
234,westport,US,2020-11-09 22:31:19,41.14,-73.36,64.99,82,1,3.36
235,ribeira grande,PT,2020-11-09 22:24:04,38.52,-28.7,68.0,82,75,20.8
236,raigarh,IN,2020-11-09 22:31:37,21.9,83.4,61.0,61,0,3.0
237,klaksvik,FO,2020-11-09 22:31:37,62.23,-6.59,50.0,100,82,14.99
238,shipunovo,RU,2020-11-09 22:31:38,52.16,82.22,35.94,92,100,28.16
239,jizan,SA,2020-11-09 22:31:38,17.33,42.67,82.4,74,0,9.17
240,artyom,AZ,2020-11-09 22:31:38,40.47,50.33,44.6,100,0,4.7
241,harlingen,US,2020-11-09 22:31:39,26.19,-97.7,87.8,45,1,17.22
242,boves,IT,2020-11-09 22:31:39,44.33,7.55,48.99,93,87,4.7
243,seoul,KR,2020-11-09 22:32:55,37.57,126.98,33.8,86,1,7.02
244,tateyama,JP,2020-11-09 22:32:07,34.98,139.87,53.01,50,60,7.0
245,amboasary,MG,2020-11-09 22:32:56,-25.03,46.38,73.4,83,0,26.4
246,yanam,IN,2020-11-09 22:32:03,16.73,82.22,67.51,72,0,4.38
247,college,US,2020-11-09 22:32:56,64.86,-147.8,26.6,73,90,8.05
248,kenai,US,2020-11-09 22:32:57,60.55,-151.26,35.6,74,20,2.8
249,anchorage,US,2020-11-09 22:32:06,61.22,-149.9,34.0,79,1,5.82
250,buraydah,SA,2020-11-09 22:32:57,26.33,43.98,66.2,82,75,12.75
251,saint-philippe,RE,2020-11-09 22:24:31,-21.36,55.77,71.6,68,0,6.93
252,luancheng,CN,2020-11-09 22:32:58,37.88,114.65,35.6,64,0,2.24
253,malanje,AO,2020-11-09 22:32:58,-9.54,16.34,63.32,96,100,5.3
254,baturaja,ID,2020-11-09 22:32:59,-4.13,104.17,73.15,93,100,2.17
255,arlit,NE,2020-11-09 22:32:59,18.74,7.39,70.9,24,0,8.97
256,cherskiy,RU,2020-11-09 22:24:12,68.75,161.3,2.84,94,99,3.4
257,kampene,CD,2020-11-09 22:33:00,-3.6,26.67,69.06,98,100,2.86
258,okahandja,NA,2020-11-09 22:33:00,-21.98,16.92,71.6,30,34,6.93
259,daru,PG,2020-11-09 22:33:01,-9.08,143.21,80.94,83,81,15.14
260,hobyo,SO,2020-11-09 22:33:02,5.35,48.53,80.46,77,34,16.11
261,vestmanna,FO,2020-11-09 22:33:02,62.16,-7.17,50.0,100,60,14.99
262,ponta do sol,PT,2020-11-09 22:23:59,32.67,-17.1,64.4,68,40,6.93
263,espanola,US,2020-11-09 22:33:03,35.99,-106.08,37.4,51,90,25.28
264,sorland,NO,2020-11-09 22:24:34,67.67,12.69,37.4,64,75,8.05
265,los chiles,CR,2020-11-09 22:33:04,11.03,-84.72,78.01,90,41,6.24
266,campo grande,BR,2020-11-09 22:32:13,-20.44,-54.65,68.0,88,75,10.29
267,palmer,US,2020-11-09 22:33:04,42.16,-72.33,62.6,51,20,2.48
268,shingu,JP,2020-11-09 22:33:04,33.73,135.98,49.95,68,24,4.45
269,lompoc,US,2020-11-09 22:29:13,34.64,-120.46,60.8,31,1,13.87
270,sao joao da barra,BR,2020-11-09 22:33:05,-21.64,-41.05,80.6,74,0,11.41
271,huarmey,PE,2020-11-09 22:33:05,-10.07,-78.15,64.81,78,70,7.2
272,san pedro,PH,2020-11-09 22:33:06,14.35,121.02,78.8,94,90,2.24
273,longyearbyen,SJ,2020-11-09 22:23:27,78.22,15.64,24.8,79,75,11.41
274,viedma,AR,2020-11-09 22:25:40,-40.81,-63.0,72.43,60,99,8.32
275,udachnyy,RU,2020-11-09 22:24:19,66.42,112.4,21.2,92,75,6.71
276,noumea,NC,2020-11-09 22:25:50,-22.28,166.46,77.0,53,40,16.11
