City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
63,port alfred,ZA,60.4,overcast clouds,-33.59,26.89,The Halyards Hotel
66,georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
68,cidreira,BR,69.37,overcast clouds,-30.18,-50.21,Hotel Castelo
71,arraial do cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
74,bethel,US,63.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
75,mahebourg,MU,73.4,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
76,marawi,PH,75.99,overcast clouds,8.0,124.29,Derogongan Residence
78,jamestown,US,64.99,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
79,shakawe,BW,77.05,overcast clouds,-18.37,21.85,Ditlhapi Guest House
81,wanlaweyn,SO,74.26,light rain,2.62,44.89,Haji Qasim Hotel
83,hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
86,ponta do sol,PT,68.0,broken clouds,32.67,-17.1,Hotel do Campo
88,butaritari,KI,82.17,scattered clouds,3.07,172.79,Isles Sunset Lodge
90,hithadhoo,MV,84.22,overcast clouds,-0.6,73.08,Scoop Guest House
91,tabou,CI,78.53,light rain,4.42,-7.35,hotêl doufoulougou
92,prigen,ID,79.92,clear sky,-7.68,112.62,Royal Trawas Hotel & Cottages
93,broome,US,63.0,clear sky,42.25,-75.83,Chenango Valley State Park
96,nabire,ID,85.24,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
97,flinders,AU,73.99,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
98,miri,MY,80.6,few clouds,4.41,114.01,"Mega Hotel, Miri"
101,carutapera,BR,77.54,scattered clouds,-1.2,-46.02,Lidera
104,banda aceh,ID,80.83,clear sky,5.56,95.32,OYO 884 Rumoh PMI Hotel
109,bathsheba,BB,78.8,shower rain,13.22,-59.52,Atlantis Hotel
114,san patricio,US,78.8,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
115,latung,PH,82.45,overcast clouds,5.5,120.88,
120,namatanai,PG,84.04,light rain,-3.67,152.43,Namatanai Hotel
121,port-gentil,GA,79.02,overcast clouds,-0.72,8.78,Fengshui Residence
122,naze,JP,73.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
123,griffith,US,70.0,scattered clouds,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
126,prainha,BR,76.32,overcast clouds,-1.8,-53.48,Hotel Brasília
129,port blair,IN,81.59,broken clouds,11.67,92.75,Fortune Resort Bay Island
131,touros,BR,78.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
132,waynesville,US,62.01,overcast clouds,35.49,-82.99,Best Western Smoky Mountain Inn
133,new norfolk,AU,86.0,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
136,ilebo,CD,67.35,few clouds,-4.32,20.58,Hôtel des palmes
137,puerto ayora,EC,69.01,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
138,avarua,CK,80.6,clear sky,-21.21,-159.78,Paradise Inn
139,mareeba,AU,84.99,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
140,richards bay,ZA,66.43,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
142,castro,BR,64.44,overcast clouds,-24.79,-50.01,CHACARA BAILLY
144,lorengau,PG,85.53,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
145,guerrero negro,MX,63.43,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
146,pemba,MZ,78.8,scattered clouds,-12.97,40.52,Guesthouse Samotina
